,Kansas,Oklahoma,Colorado,California,Virginia,Utah,Massachusetts,South Carolina,Iowa,Minnesota,Oregon,Ohio,Indiana,Rhode Island,Florida,Delaware,Michigan,North Carolina,Wyoming,New York,West Virginia,Idaho,Missouri,Alaska,Alabama,South Dakota,Illinois,New Hampshire,Kentucky,Pennsylvania,North Dakota,Connecticut,Arkansas,Wisconsin,Arizona,Maryland,Mississippi,Tennessee,Vermont,Nevada,New Jersey,Louisiana,Nebraska,Washington,Georgia,Montana,Maine,Texas,District of Columbia,Hawaii,New Mexico
2008-01-01,144002.4,180162.8,228236.2,1603306.0,386846.7,104127.9,352308.8,183085.3,149119.1,261617.2,159186.3,511871.9,276552.9,47301.5,801556.1,40590.1,417247.4,427092.2,31798.3,926923.5,74258.9,59275.0,279010.9,35489.4,199308.2,43125.8,617142.7,63530.8,176022.8,591536.8,35184.8,218101.9,117807.7,263753.5,244724.1,287439.7,115507.7,267391.7,28313.3,113703.5,469080.7,208684.8,90654.1,310770.0,399457.2,41419.1,55982.4,1120909.7,35121.3,57070.7,79607.8
2009-01-01,136817.7,169675.1,220217.9,1567285.7,384428.5,97472.5,353100.9,181659.9,141685.1,246937.4,150977.7,494090.1,268703.6,46171.9,768901.7,40366.5,397562.6,419035.5,29028.2,917581.6,76036.2,57571.7,269359.7,34976.6,199810.9,41638.2,583187.4,63540.9,176870.8,579211.9,34240.0,215629.8,118683.5,258383.6,232419.1,282935.8,117636.2,270265.1,27918.5,105980.5,442074.8,206489.2,88747.4,299091.6,403761.1,40981.4,56183.4,1075852.1,35401.9,55419.6,78630.2
2010-01-01,135439.8,170857.7,226621.4,1624234.9,389491.6,101138.6,365865.6,181307.2,141341.1,256175.2,153692.1,501427.8,274616.9,48728.4,805719.8,40290.5,404923.1,408988.1,30338.0,947703.2,75391.4,59590.2,263458.0,37928.9,199934.3,41935.3,588136.5,65788.4,176725.0,597832.3,36919.8,227260.5,117680.3,259228.3,237914.3,293197.2,116273.3,272917.9,28864.0,110621.2,456219.3,207753.8,90296.9,307765.6,395187.5,42683.6,57177.8,1113308.5,37023.1,57291.7,81361.8
2011-01-01,143276.0,178480.4,233652.0,1688931.8,402526.5,103644.8,374037.9,185814.6,150625.1,268028.4,157192.8,526365.4,286855.4,49727.9,823940.3,42736.6,422694.3,409607.3,31718.2,967685.2,77458.5,60845.2,269246.0,39548.5,201384.9,45296.1,601149.1,67643.1,180670.3,617513.9,40431.0,226382.8,121331.4,269994.4,247442.2,299337.8,117393.6,280614.2,29949.5,110422.8,463368.0,207629.7,99235.9,316238.7,415469.5,43600.1,58920.9,1196635.6,39115.0,58168.3,81154.2
2012-01-01,147397.5,185729.8,242375.6,1753099.3,415618.4,108592.8,381927.0,190915.1,152906.0,277805.6,159863.3,530730.5,292577.9,51074.4,832404.4,42700.0,431789.3,428209.4,33932.4,1003696.1,77707.7,63129.5,276067.8,40261.6,201397.8,43913.6,622873.0,69271.5,182952.0,632010.6,45488.8,225685.1,126850.0,274484.7,255433.5,306124.0,119340.0,286578.0,29952.8,113327.3,469116.2,213483.3,98938.0,335705.6,410423.3,45954.1,58117.2,1239768.8,40381.8,59780.8,81911.4
2013-01-01,149555.2,191780.8,251229.7,1755250.2,402518.1,111380.8,383734.2,190790.8,153386.7,276131.6,161641.9,530301.7,291964.9,49609.5,824741.5,43131.6,429051.8,416375.5,32960.5,1001472.7,75509.0,64489.2,273056.0,39493.9,201172.1,43823.6,631664.9,68230.1,181706.0,629977.7,44757.3,217256.9,125299.8,273572.1,257087.1,297914.9,119397.5,286206.9,29818.6,114066.7,468261.5,213536.8,97877.0,337698.1,412610.1,45904.9,56565.7,1251439.6,39771.6,57699.9,79945.2
2014-01-01,149103.0,199539.5,268506.2,1834858.3,413271.3,116910.4,391031.1,200044.3,155922.6,283263.4,170717.9,545561.0,299357.3,51370.6,867379.1,43866.2,439730.3,432979.7,34582.4,1031400.4,77071.2,67002.8,276898.7,40913.7,205291.8,45650.4,651001.4,70279.9,186725.1,648176.4,46974.6,224560.1,130572.4,280358.3,267086.1,304757.3,119933.9,293297.5,31246.1,120100.1,481089.2,218320.6,102249.2,352660.3,432994.4,46473.6,61195.9,1318145.1,41606.2,60764.2,83438.8
2015-01-01,150962.5,194705.2,279326.6,1951176.5,430399.8,126146.1,414493.3,211939.4,163694.5,298148.3,180643.1,570520.6,314400.0,52166.5,920580.0,46905.4,471528.9,456418.1,34774.3,1067425.9,77820.9,70479.1,289282.9,41763.3,215147.9,48212.1,683753.2,72073.6,195535.5,666522.6,45624.4,228819.1,134940.8,293608.2,281347.5,317545.8,122245.9,307763.2,31450.1,130620.6,500906.3,220101.4,106813.0,371323.6,460266.7,48308.3,61517.9,1342796.0,45162.5,62961.5,85378.8
2016-01-01,151347.9,183585.8,281611.3,2033539.5,441055.9,132904.4,413376.8,217880.7,163762.3,302798.9,190532.8,575566.1,320397.1,52637.7,947436.7,47544.3,480853.1,466543.3,32431.4,1089331.4,77291.9,73782.4,296927.9,40448.3,214859.9,48483.0,680906.2,72954.0,197156.3,681043.0,43619.6,231104.6,136781.6,296208.4,289273.8,327193.2,122578.6,311535.3,32220.9,136283.6,509586.1,215097.6,104983.0,383757.3,473711.4,49190.0,62117.5,1327627.4,47313.5,65647.9,87207.5
2017-01-01,154694.8,189624.2,295345.2,2073859.0,457656.4,136627.2,429672.4,227075.1,166102.4,312566.2,194828.9,590137.4,328648.6,53507.5,1004622.8,48891.9,491845.4,484514.6,33506.7,1144857.9,79711.4,75774.0,299195.0,40068.6,220235.9,49372.8,685318.8,74547.9,201330.6,679230.8,44908.7,233286.0,140074.1,302158.3,304434.3,334366.7,124576.5,322332.7,31908.2,139414.1,519160.2,220724.6,106918.7,394607.9,491844.9,51054.6,63401.4,1408033.3,49311.5,66836.5,86238.4
