year,NAME,vacancy_rate
2017,"Abilene, TX Metro Area",6.9
2017,"Aguadilla-Isabela, PR Metro Area",6.6
2017,"Akron, OH Metro Area",2.8
2017,"Albany, GA Metro Area",5.1
2017,"Albany, OR Metro Area",8.7
2017,"Albany-Schenectady-Troy, NY Metro Area",5.1
2017,"Albuquerque, NM Metro Area",7.1
2017,"Alexandria, LA Metro Area",8.8
2017,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",5.2
2017,"Altoona, PA Metro Area",3
2017,"Amarillo, TX Metro Area",8.2
2017,"Ames, IA Metro Area",3.2
2017,"Anchorage, AK Metro Area",7.1
2017,"Ann Arbor, MI Metro Area",5.1
2017,"Anniston-Oxford-Jacksonville, AL Metro Area",3.7
2017,"Appleton, WI Metro Area",3.1
2017,"Arecibo, PR Metro Area",10.5
2017,"Asheville, NC Metro Area",4.5
2017,"Athens-Clarke County, GA Metro Area",6.2
2017,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6.1
2017,"Atlantic City-Hammonton, NJ Metro Area",5.7
2017,"Auburn-Opelika, AL Metro Area",9.3
2017,"Augusta-Richmond County, GA-SC Metro Area",11.2
2017,"Austin-Round Rock, TX Metro Area",7.6
2017,"Bakersfield, CA Metro Area",5.3
2017,"Baltimore-Columbia-Towson, MD Metro Area",6.1
2017,"Bangor, ME Metro Area",9.1
2017,"Barnstable Town, MA Metro Area",8.4
2017,"Baton Rouge, LA Metro Area",7.3
2017,"Battle Creek, MI Metro Area",7
2017,"Bay City, MI Metro Area",5.7
2017,"Beaumont-Port Arthur, TX Metro Area",4.6
2017,"Beckley, WV Metro Area",11.2
2017,"Bellingham, WA Metro Area",2.6
2017,"Bend-Redmond, OR Metro Area",2.6
2017,"Billings, MT Metro Area",5.5
2017,"Binghamton, NY Metro Area",10
2017,"Birmingham-Hoover, AL Metro Area",7.9
2017,"Bismarck, ND Metro Area",10
2017,"Blacksburg-Christiansburg-Radford, VA Metro Area",6.6
2017,"Bloomington, IL Metro Area",11
2017,"Bloomington, IN Metro Area",4.1
2017,"Bloomsburg-Berwick, PA Metro Area",6.1
2017,"Boise City, ID Metro Area",2.8
2017,"Boston-Cambridge-Newton, MA-NH Metro Area",3.4
2017,"Boulder, CO Metro Area",3.4
2017,"Bowling Green, KY Metro Area",6.7
2017,"Bremerton-Silverdale, WA Metro Area",3.5
2017,"Bridgeport-Stamford-Norwalk, CT Metro Area",7.5
2017,"Brownsville-Harlingen, TX Metro Area",8.5
2017,"Brunswick, GA Metro Area",3.6
2017,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",4.8
2017,"Burlington, NC Metro Area",6
2017,"Burlington-South Burlington, VT Metro Area",1.6
2017,"California-Lexington Park, MD Metro Area",1.7
2017,"Canton-Massillon, OH Metro Area",1.4
2017,"Cape Coral-Fort Myers, FL Metro Area",11.1
2017,"Cape Girardeau, MO-IL Metro Area",7.4
2017,"Carbondale-Marion, IL Metro Area",12.6
2017,"Carson City, NV Metro Area",4.7
2017,"Casper, WY Metro Area",13.7
2017,"Cedar Rapids, IA Metro Area",11.5
2017,"Chambersburg-Waynesboro, PA Metro Area",3.6
2017,"Champaign-Urbana, IL Metro Area",12.8
2017,"Charleston, WV Metro Area",10
2017,"Charleston-North Charleston, SC Metro Area",6.9
2017,"Charlotte-Concord-Gastonia, NC-SC Metro Area",6.1
2017,"Charlottesville, VA Metro Area",1.9
2017,"Chattanooga, TN-GA Metro Area",5.8
2017,"Cheyenne, WY Metro Area",11.7
2017,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",6.3
2017,"Chico, CA Metro Area",7.6
2017,"Cincinnati, OH-KY-IN Metro Area",5
2017,"Clarksville, TN-KY Metro Area",8
2017,"Cleveland, TN Metro Area",5.1
2017,"Cleveland-Elyria, OH Metro Area",6.9
2017,"Coeur d'Alene, ID Metro Area",4.2
2017,"College Station-Bryan, TX Metro Area",11.4
2017,"Colorado Springs, CO Metro Area",2.2
2017,"Columbia, MO Metro Area",9.2
2017,"Columbia, SC Metro Area",6.8
2017,"Columbus, GA-AL Metro Area",8
2017,"Columbus, IN Metro Area",14.5
2017,"Columbus, OH Metro Area",6
2017,"Corpus Christi, TX Metro Area",9.5
2017,"Corvallis, OR Metro Area",4.8
2017,"Crestview-Fort Walton Beach-Destin, FL Metro Area",18.5
2017,"Cumberland, MD-WV Metro Area",12.8
2017,"Dallas-Fort Worth-Arlington, TX Metro Area",7.2
2017,"Dalton, GA Metro Area",11
2017,"Danville, IL Metro Area",16.2
2017,"Daphne-Fairhope-Foley, AL Metro Area",49.2
2017,"Davenport-Moline-Rock Island, IA-IL Metro Area",13
2017,"Dayton, OH Metro Area",5.4
2017,"Decatur, AL Metro Area",7.2
2017,"Decatur, IL Metro Area",11.2
2017,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",4.7
2017,"Denver-Aurora-Lakewood, CO Metro Area",5.2
2017,"Des Moines-West Des Moines, IA Metro Area",6.8
2017,"Detroit-Warren-Dearborn, MI Metro Area",4.9
2017,"Dothan, AL Metro Area",10.3
2017,"Dover, DE Metro Area",8.2
2017,"Dubuque, IA Metro Area",9.9
2017,"Duluth, MN-WI Metro Area",6.5
2017,"Durham-Chapel Hill, NC Metro Area",5.9
2017,"East Stroudsburg, PA Metro Area",6.6
