ori,agency_name,state_name,agency_type_name
AL0470100,Huntsville,Alabama,City
AK0010100,Anchorage,Alaska,Municipality
AZ0072300,Phoenix,Arizona,City
AR0600200,Little Rock,Arkansas,City
CA0194200,Los Angeles,California,City
CODPD0000,Denver,Colorado,City
CT0001500,Bridgeport,Connecticut,City
DE0020600,Wilmington,Delaware,City
DCMPD0000,Washington,District of Columbia,City
FL0160200,Jacksonville,Florida,City
GAAPD0000,Atlanta,Georgia,City
HI0020000,Honolulu,Hawaii,City
ID0010100,Boise,Idaho,City
ILCPD0000,Chicago,Illinois,City
INIPD0000,Indianapolis,Indiana,City
IA0770300,Des Moines,Iowa,City
KS0870300,Wichita,Kansas,City
KY0568000,Louisville,Kentucky,City
LANPD0000,New Orleans,Louisiana,Parish
ME0030500,Portland,Maine,City
MDBPD0000,Baltimore,Maryland,City
MA0130100,Boston,Massachusetts,City
MI8234900,Detroit,Michigan,City
MN0271100,Minneapolis,Minnesota,City
MS0250100,Jackson,Mississippi,City
MOKPD0000,Kansas City,Missouri,City
MT0560100,Billings,Montana,City
NB0280200,Omaha,Nebraska,City
NV0020100,Las Vegas,Nevada,City
NH0063400,Manchester,New Hampshire,City
NJNPD0000,Newark,New Jersey,City
NM0010100,Albuquerque,New Mexico,City
NY0303000,New York City,New York,City
ND0090200,Fargo,North Dakota,City
OHCOP0000,Columbus,Ohio,City
OK0550600,Oklahoma City,Oklahoma,City
OR0260200,Portland,Oregon,City
PAPEP0000,Philadelphia,Pennsylvania,City
RI0040900,Providence,Rhode Island,City
SC0100100,Charleston,South Carolina,City
SD0490200,Sioux Falls,South Dakota,City
TN0190100,Nashville,Tennessee,City
TXHPD0000,Houston,Texas,City
UT0180300,Salt Lake City,Utah,City
VT0040100,Burlington,Vermont,City
VA1280000,Virginia Beach,Virginia,City
WASPD0000,Seattle,Washington,City
WV0200200,Charleston,West Virginia,City
WIMPD0000,Milwaukee,Wisconsin,City
WY0110100,Cheyenne,Wyoming,City
AL0030100,Montgomery,Alabama,City
AK0010300,Juneau,Alaska,City and Borough
AZ0100300,Tucson,Arizona,City
AR0720100,Fayetteville,Arkansas,City
CA0371100,San Diego,California,City
CO0210100,Colorado Springs,Colorado,City
CT0013500,Stamford,Connecticut,City
DE0010100,Dover,Delaware,City
FL0130600,Miami,Florida,City
GA1060100,Columbus,Georgia,City
ID0010300,Meridian,Idaho,City
IL0450100,Aurora,Illinois,City
IN0020100,Fort Wayne,Indiana,City
IA0570100,Cedar Rapids,Iowa,City
KS0460600,Overland Park,Kansas,City
KY0340200,Lexington,Kentucky,City
LA0170200,Baton Rouge,Louisiana,Parish
ME0010200,Lewiston,Maine,City
MA0146000,Worcester,Massachusetts,City
MI4143600,Grand Rapids,Michigan,City
MS0240200,Gulfport,Mississippi,City
MT0320100,Missoula,Montana,City
NB0550100,Lincoln,Nebraska,City
NV0020300,Henderson,Nevada,City
NH0064600,Nashua,New Hampshire,City
NJ0090600,Jersey City,New Jersey,City
NM0070100,Las Cruces,New Mexico,City
NY0140100,Buffalo,New York,City
NC0920100,Raleigh,North Carolina,City
ND0080100,Bismarck,North Dakota,City
OHCLP0000,Cleveland,Ohio,City
OK0720500,Tulsa,Oklahoma,City
OR0240200,Salem,Oregon,City
PAPPD0000,Pittsburgh,Pennsylvania,City
RI0040200,Cranston,Rhode Island,City
SC0400100,Columbia,South Carolina,City
SD0510100,Rapid City,South Dakota,City
TNMPD0000,Memphis,Tennessee,City
TXSPD0000,San Antonio,Texas,City
VT0040300,South Burlington,Vermont,City
VA1170000,Norfolk,Virginia,City
WA0320400,Spokane,Washington,City
WV0060200,Huntington,West Virginia,City
WI0130100,Madison,Wisconsin,City
WY0130100,Casper,Wyoming,City
AL0010200,Birmingham,Alabama,City
AK0010200,Fairbanks,Alaska,Borough
AZ0071700,Mesa,Arizona,City
AR0660100,Fort Smith,Arkansas,City
CA0431300,San Jose,California,City
CO0010100,Aurora,Colorado,City
CT0009300,New Haven,Connecticut,City
DE0020500,Newark,Delaware,City
FL0290200,Tampa,Florida,City
ID0140200,Nampa,Idaho,City
IL0221400,Naperville,Illinois,City
IN0820100,Evansville,Indiana,City
IA0820200,Davenport,Iowa,City
KS1050200,Kansas City,Kansas,City
KY1140100,Bowling Green,Kentucky,City
LA0090100,Shreveport,Louisiana,Parish
ME0100100,Bangor,Maine,City
MA0071800,Springfield,Massachusetts,City
MI5080600,Warren,Michigan,City
MN0550100,Rochester,Minnesota,City
MS0170100,Southaven,Mississippi,City
MO0390300,Springfield,Missouri,City
MT0070100,Great Falls,Montana,City
NB0770100,Bellevue,Nebraska,City
NV0160100,Reno,Nevada,City
NH0071600,Concord,New Hampshire,City
NJ0160800,Paterson,New Jersey,City
NM0230600,Rio Rancho,New Mexico,City
NY0590700,Yonkers,New York,City
NC0410200,Greensboro,North Carolina,City
ND0180100,Grand Forks,North Dakota,City
OHCIP0000,Cincinnati,Ohio,City
OK0140200,Norman,Oklahoma,City
OR0200200,Eugene,Oregon,City
PA0390100,Allentown,Pennsylvania,City
RI0020300,Warwick,Rhode Island,City
SC0100800,North Charleston,South Carolina,City
