ori,agency_name,state_name,data_year,offense,Population,cleared,actual,crime_rate
AL0470100,Huntsville,Alabama,2018,violent-crime,215006,986,1423,661.8419951071132
AL0470100,Huntsville,Alabama,2019,violent-crime,215006,597,872,405.57007711412706
AL0470100,Huntsville,Alabama,2020,violent-crime,215006,485,701,326.0374129094072
AL0470100,Huntsville,Alabama,2021,violent-crime,215006,26,28,13.022892384398574
AL0470100,Huntsville,Alabama,2022,violent-crime,215006,82,654,304.1775578355953
AK0010100,Anchorage,Alaska,2018,violent-crime,291538,1941,3824,1311.6643456427637
AK0010100,Anchorage,Alaska,2019,violent-crime,291538,1742,3581,1228.3132902057364
AK0010100,Anchorage,Alaska,2020,violent-crime,291538,1711,3472,1190.9253682195804
AK0010100,Anchorage,Alaska,2022,violent-crime,291538,1735,3289,1128.1548202978686
AZ0072300,Phoenix,Arizona,2018,violent-crime,1660272,3932,12111,729.4587874757871
AZ0072300,Phoenix,Arizona,2019,violent-crime,1660272,3749,11803,710.907610319273
AZ0072300,Phoenix,Arizona,2020,violent-crime,1660272,3818,13646,821.9135177850376
AZ0072300,Phoenix,Arizona,2022,violent-crime,1660272,3707,13515,814.0232443840528
AR0600200,Little Rock,Arkansas,2018,violent-crime,202591,763,2891,1427.0130459892098
AR0600200,Little Rock,Arkansas,2019,violent-crime,202591,814,3029,1495.1305832934336
AR0600200,Little Rock,Arkansas,2020,violent-crime,202591,779,3661,1807.089159933067
AR0600200,Little Rock,Arkansas,2021,violent-crime,202591,825,4090,2018.8458519875016
AR0600200,Little Rock,Arkansas,2022,violent-crime,202591,778,3694,1823.3781362449467
CA0194200,Los Angeles,California,2018,violent-crime,3997984,12756,30126,753.5297790086204
CA0194200,Los Angeles,California,2019,violent-crime,3997984,12759,29400,735.3706267959052
CA0194200,Los Angeles,California,2020,violent-crime,3997984,12010,28882,722.4140967047392
CA0194200,Los Angeles,California,2022,violent-crime,3997984,13025,31772,794.7005290666497
CODPD0000,Denver,Colorado,2018,violent-crime,719238,2900,5313,738.6984558657913
CODPD0000,Denver,Colorado,2019,violent-crime,719238,2925,5511,766.2275908670009
CODPD0000,Denver,Colorado,2020,violent-crime,719238,3187,6378,886.7718335238127
CODPD0000,Denver,Colorado,2021,violent-crime,719238,3520,6919,961.9903286533804
CODPD0000,Denver,Colorado,2022,violent-crime,719238,3658,7545,1049.026886788518
CT0001500,Bridgeport,Connecticut,2018,violent-crime,148654,249,974,655.2127759764285
CT0001500,Bridgeport,Connecticut,2019,violent-crime,148654,198,847,569.7794879384343
CT0001500,Bridgeport,Connecticut,2020,violent-crime,148654,194,834,561.0343482180097
CT0001500,Bridgeport,Connecticut,2021,violent-crime,148654,170,809,544.2167718325777
