CBSA Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Albany-Schenectady-Troy  NY,1212,60,149,925,2017
Glens Falls  NY,260,4,0,0,2017
Albuquerque  NM,1996,6,3,251,2017
Santa Fe  NM,221,0,0,0,2017
Amarillo  TX,555,12,4,204,2017
Appleton  WI,616,68,0,246,2017
Oshkosh-Neenah  WI,327,12,0,210,2017
Asheville  NC,2103,10,0,658,2017
Athens-Clarke County  GA,581,6,8,176,2017
Atlanta-Sandy Springs-Roswell  GA,24973,30,127,8702,2017
Gainesville  GA,1184,2,17,160,2017
Bend-Redmond  OR,1777,58,0,220,2017
Birmingham-Hoover  AL,2677,2,4,6,2017
Bloomington  IN,313,40,0,251,2017
Bloomington  IL,214,8,0,164,2017
Bloomsburg-Berwick  PA,105,0,6,58,2017
Boise City  ID,6275,26,297,1311,2017
Barnstable Town  MA,489,10,0,372,2017
Boston-Cambridge-Newton  MA-NH,4949,490,292,9026,2017
Manchester-Nashua  NH,717,36,16,264,2017
Providence-Warwick  RI-MA,1722,104,24,160,2017
Worcester  MA-CT,1297,46,0,425,2017
Bowling Green  KY,737,38,56,439,2017
Brownsville-Harlingen  TX,1139,60,24,22,2017
Buffalo-Cheektowaga-Niagara Falls  NY,979,6,23,649,2017
Cape Coral-Fort Myers  FL,4841,286,127,1700,2017
Naples-Immokalee-Marco Island  FL,2930,4,120,1140,2017
Cape Girardeau  MO-IL,260,12,0,326,2017
Cedar Rapids  IA,537,146,38,271,2017
Iowa City  IA,638,8,57,624,2017
Charleston  WV,70,10,16,39,2017
Huntington-Ashland  WV-KY-OH,234,10,12,8,2017
Charlotte-Concord-Gastonia  NC-SC,15247,72,42,7508,2017
Chattanooga  TN-GA,1928,22,20,661,2017
Cleveland  TN,519,20,50,50,2017
Dalton  GA,227,0,0,116,2017
Chicago-Naperville-Elgin  IL-IN-WI,8416,238,786,12692,2017
Kankakee  IL,88,0,8,102,2017
Michigan City-La Porte  IN,147,4,0,6,2017
Cincinnati  OH-KY-IN,4440,20,125,1880,2017
Akron  OH,901,0,8,11,2017
