State Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Alabama,12233,166,182,2218,2017
Alaska,1127,96,74,242,2017
Arizona,28072,432,273,10695,2017
Arkansas,7376,462,386,2571,2017
California,57132,2168,2138,53342,2017
Colorado,24338,344,415,15576,2017
Connecticut,2480,102,53,1912,2017
Delaware,5218,222,98,1063,2017
District of Columbia,352,50,12,5623,2017
Florida,85267,1256,942,35254,2017
Georgia,40311,106,249,10574,2017
Hawaii,2534,78,19,1404,2017
Idaho,11019,102,577,2485,2017
Illinois,10181,318,875,13618,2017
Indiana,16075,444,78,5067,2017
Iowa,8067,320,154,5407,2017
Kansas,6046,458,257,2223,2017
Kentucky,7967,360,335,3968,2017
Louisiana,13557,350,107,1210,2017
Maine,3583,112,36,627,2017
Maryland,12384,90,10,3740,2017
Massachusetts,7278,532,288,9630,2017
Michigan,16652,258,438,6275,2017
Minnesota,13508,142,174,8129,2017
Mississippi,6531,108,102,740,2017
Missouri,12109,488,594,5620,2017
Montana,3161,352,350,1069,2017
Nebraska,5436,184,110,3133,2017
Nevada,12766,92,198,6488,2017
New Hampshire,2711,144,55,715,2017
New Jersey,10148,806,675,16872,2017
New Mexico,4114,12,18,597,2017
New York,10361,1392,923,26674,2017
North Carolina,49366,450,159,17072,2017
North Dakota,2111,42,10,1248,2017
Ohio,16153,264,591,6909,2017
Oklahoma,9419,392,47,1234,2017
Oregon,10604,392,143,8914,2017
Pennsylvania,15703,554,816,5511,2017
Rhode Island,981,52,18,102,2017
South Carolina,28851,138,59,6473,2017
South Dakota,3386,94,137,1790,2017
Tennessee,27119,300,355,10138,2017
Texas,116766,1762,1710,54874,2017
Utah,17247,240,1280,5912,2017
Vermont,983,68,44,654,2017
Virginia,22497,84,450,10729,2017
Virgin Islands,117,54,11,0,2017
Washington,23115,862,825,20992,2017
West Virginia,2348,66,36,269,2017
Wisconsin,11769,728,103,6945,2017
Wyoming,1464,72,111,279,2017
United States,819976,19106,18089,424806,2017
Northeast Region,54228,3762,2908,62697,2017
Midwest Region,121493,3740,3521,66364,2017
South Region,447562,6362,5239,167750,2017
West Region,196693,5242,6421,127995,2017
New England Division,18016,1010,494,13640,2017
Middle Atlantic Division,36212,2752,2414,49057,2017
East North Central Division,70830,2012,2085,38814,2017
West North Central Division,50663,1728,1436,27550,2017
South Atlantic Division,246594,2462,2015,90797,2017
East South Central Division,53850,934,974,17064,2017
West South Central Division,147118,2966,2250,59889,2017
Mountain Division,102181,1646,3222,43101,2017
