YEAR,WHYMOVE,MIGSTA1
2017,For cheaper housing,Massachusetts
2017,Wanted better neighborhood,Missouri
2017,Wanted better neighborhood,Missouri
2017,Wanted better neighborhood,Missouri
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,Wanted better neighborhood,New York
2017,Wanted better neighborhood,New York
2017,Retired,Massachusetts
2017,Retired,Massachusetts
2017,New job or job transfer,Massachusetts
2017,Change in marital status,Vermont
2017,Other family reason,Vermont
2017,Health reasons,Connecticut
2017,Other reasons,Massachusetts
2017,Other reasons,Massachusetts
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Massachusetts
2017,Other housing reason,Massachusetts
2017,Other housing reason,Massachusetts
2017,New job or job transfer,Vermont
2017,New job or job transfer,Vermont
2017,New job or job transfer,Vermont
2017,New job or job transfer,Vermont
2017,"Wanted to own home, not rent",Vermont
2017,"Wanted to own home, not rent",Vermont
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,To establish own household,Massachusetts
2017,"Wanted to own home, not rent",Pennsylvania
2017,"Wanted to own home, not rent",Pennsylvania
2017,"Wanted to own home, not rent",Pennsylvania
2017,"Wanted to own home, not rent",Pennsylvania
2017,Change in marital status,Massachusetts
2017,Change in marital status,Massachusetts
2017,Change in marital status,Massachusetts
2017,Change in marital status,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Change in marital status,Massachusetts
2017,Change in marital status,Massachusetts
2017,Change in marital status,Massachusetts
2017,New job or job transfer,South Carolina
2017,"Wanted to own home, not rent",Massachusetts
2017,Other reasons,Connecticut
2017,Other reasons,Connecticut
2017,For cheaper housing,Maine
2017,To establish own household,Arkansas
2017,Change in marital status,Arkansas
2017,Change in marital status,Connecticut
2017,New job or job transfer,North Carolina
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,Change in marital status,Massachusetts
2017,Other reasons,Indiana
2017,Other reasons,Indiana
2017,Other family reason,North Carolina
2017,Other housing reason,Massachusetts
2017,For cheaper housing,Massachusetts
2017,Other family reason,Massachusetts
2017,Other family reason,Massachusetts
2017,"Wanted to own home, not rent",Massachusetts
2017,"Wanted to own home, not rent",Massachusetts
