YEAR,WHYMOVE,MIGSTA1,count
2017,For cheaper housing,Massachusetts,1789.94
2017,Wanted better neighborhood,Missouri,7395
2017,New job or job transfer,Michigan,44308.26
2017,Wanted better neighborhood,New York,2700.18
2017,Retired,Massachusetts,1470.44
2017,New job or job transfer,Massachusetts,29860.5
2017,Change in marital status,Vermont,873.61
2017,Other family reason,Vermont,1973.71
2017,Health reasons,Connecticut,765.52
2017,Other reasons,Massachusetts,695.78
2017,New job or job transfer,Connecticut,40789.61
2017,Other housing reason,Massachusetts,2084.44
2017,New job or job transfer,Vermont,5864.389999999999
2017,"Wanted to own home, not rent",Vermont,1490.1399999999999
2017,New job or job transfer,Pennsylvania,61416.229999999996
2017,To establish own household,Massachusetts,6519.9400000000005
2017,"Wanted to own home, not rent",Pennsylvania,15353
2017,Change in marital status,Massachusetts,4477.28
2017,Wanted new or better housing,Massachusetts,6495.24
2017,New job or job transfer,South Carolina,13973.25
2017,"Wanted to own home, not rent",Massachusetts,3668.74
2017,Other reasons,Connecticut,16370.17
2017,For cheaper housing,Maine,863.01
2017,To establish own household,Arkansas,7236.11
2017,Change in marital status,Arkansas,4206.59
2017,Change in marital status,Connecticut,899.91
2017,New job or job transfer,North Carolina,102683.72
2017,Other reasons,Indiana,4306.94
2017,Other family reason,North Carolina,31698.95
2017,Other family reason,Massachusetts,12601.01
2017,Other family reason,Texas,80215.83
2017,"Wanted to own home, not rent",Texas,19327.32
2017,Other reasons,Wisconsin,1594.95
2017,Other job-related reason,New Hampshire,1182.28
2017,Retired,Florida,11685.26
2017,New job or job transfer,Kansas,11150.39
2017,New job or job transfer,Ohio,41375.5
2017,"Wanted to own home, not rent",New Hampshire,814.46
2017,Foreclosure or eviction,California,4713.23
2017,New job or job transfer,Texas,144854.92
2017,Other housing reason,California,6227.01
2017,Other housing reason,New Jersey,12577.48
2017,Other reasons,Maine,251.48
2017,Wanted new or better housing,Maine,251.48
2017,New job or job transfer,New York,82319.04
2017,Other family reason,New Hampshire,2472.31
2017,Other job-related reason,Texas,19274.489999999998
2017,Attend/leave college,New York,7576.5599999999995
2017,Attend/leave college,Vermont,3213.9
2017,Wanted new or better housing,Virginia,3583.34
2017,Other reasons,Pennsylvania,2653.04
2017,Attend/leave college,Florida,13015.9
2017,Attend/leave college,Virginia,7938.299999999999
2017,New job or job transfer,Illinois,50570.66
2017,Other family reason,Connecticut,8010.02
2017,"Wanted to own home, not rent",Illinois,10061.87
2017,New job or job transfer,Minnesota,40539.03
2017,Other family reason,Utah,14480.03
2017,Attend/leave college,New Hampshire,11883.64
2017,New job or job transfer,Rhode Island,14725.46
2017,To establish own household,Rhode Island,8653.66
2017,New job or job transfer,Maryland,70907.52
2017,Other family reason,New York,33776.590000000004
2017,New job or job transfer,Florida,113698.1
2017,For easier commute,Massachusetts,3435.7999999999997
2017,Other housing reason,Florida,2409.2
2017,Other family reason,Alaska,914.07
2017,Other reasons,Florida,37447.96
2017,Attend/leave college,Tennessee,5715.219999999999
2017,Other housing reason,Nevada,8422.72
2017,To establish own household,New York,35308.67
2017,To look for work or lost job,New York,5558.5999999999995
2017,New job or job transfer,Tennessee,56959.18
2017,New job or job transfer,Georgia,104317.85
2017,New job or job transfer,New Jersey,34077.79
2017,New job or job transfer,California,149782.16999999998
2017,Other family reason,Ohio,21711.18
2017,Attend/leave college,California,17935.850000000002
2017,Other family reason,Rhode Island,11147.42
2017,Change of climate,North Carolina,6839.2
2017,Other family reason,Mississippi,2407.69
2017,Other reasons,Mississippi,2228.44
2017,Attend/leave college,Illinois,13412.36
