NAME,poverty_rate
"Abilene, TX Metro Area",28.9
"Aguadilla-Isabela, PR Metro Area",72.5
"Akron, OH Metro Area",25.7
"Albany, GA Metro Area",37.7
"Albany-Lebanon, OR Metro Area",22.6
"Albany-Schenectady-Troy, NY Metro Area",21.4
"Albuquerque, NM Metro Area",26.5
"Alexandria, LA Metro Area",32.1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",21.3
"Altoona, PA Metro Area",28.7
"Amarillo, TX Metro Area",26.700000000000003
"Ames, IA Metro Area",26.400000000000002
"Anchorage, AK Metro Area",14.8
"Ann Arbor, MI Metro Area",21.6
"Anniston-Oxford, AL Metro Area",33.599999999999994
"Appleton, WI Metro Area",17.1
"Arecibo, PR Metro Area",62.900000000000006
"Asheville, NC Metro Area",26
"Athens-Clarke County, GA Metro Area",30.4
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",18.299999999999997
"Atlantic City-Hammonton, NJ Metro Area",23.1
"Auburn-Opelika, AL Metro Area",31.700000000000003
"Augusta-Richmond County, GA-SC Metro Area",29.300000000000004
"Austin-Round Rock-Georgetown, TX Metro Area",15
"Bakersfield, CA Metro Area",26.8
"Baltimore-Columbia-Towson, MD Metro Area",19.5
"Bangor, ME Metro Area",30.6
"Barnstable Town, MA Metro Area",17.3
"Baton Rouge, LA Metro Area",27.6
"Battle Creek, MI Metro Area",27.5
"Bay City, MI Metro Area",32.4
"Beaumont-Port Arthur, TX Metro Area",30.6
"Beckley, WV Metro Area",35.599999999999994
"Bellingham, WA Metro Area",22.5
"Bend, OR Metro Area",14.399999999999999
"Billings, MT Metro Area",20.900000000000002
"Binghamton, NY Metro Area",28.799999999999997
"Birmingham-Hoover, AL Metro Area",27.1
"Bismarck, ND Metro Area",19.799999999999997
"Blacksburg-Christiansburg, VA Metro Area",27.700000000000003
"Bloomington, IL Metro Area",23.9
"Bloomington, IN Metro Area",28.3
"Bloomsburg-Berwick, PA Metro Area",27.4
"Boise City, ID Metro Area",17
"Boston-Cambridge-Newton, MA-NH Metro Area",17.700000000000003
"Boulder, CO Metro Area",18.1
"Bowling Green, KY Metro Area",30.5
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14.7
"Bridgeport-Stamford-Norwalk, CT Metro Area",17.9
"Brownsville-Harlingen, TX Metro Area",37.900000000000006
"Brunswick, GA Metro Area",29
"Buffalo-Cheektowaga, NY Metro Area",26.699999999999996
"Burlington, NC Metro Area",27.5
"Burlington-South Burlington, VT Metro Area",20.3
"California-Lexington Park, MD Metro Area",16.9
"Canton-Massillon, OH Metro Area",27.1
"Cape Coral-Fort Myers, FL Metro Area",21.799999999999997
"Cape Girardeau, MO-IL Metro Area",30.300000000000004
"Carbondale-Marion, IL Metro Area",31.000000000000004
"Carson City, NV Metro Area",25.8
"Casper, WY Metro Area",20.5
"Cedar Rapids, IA Metro Area",20.9
"Chambersburg-Waynesboro, PA Metro Area",20
"Champaign-Urbana, IL Metro Area",31.799999999999997
"Charleston, WV Metro Area",35
"Charleston-North Charleston, SC Metro Area",19.7
"Charlotte-Concord-Gastonia, NC-SC Metro Area",20.299999999999997
"Charlottesville, VA Metro Area",21.9
"Chattanooga, TN-GA Metro Area",23.200000000000003
"Cheyenne, WY Metro Area",24.400000000000002
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",21
"Chico, CA Metro Area",27.9
"Cincinnati, OH-KY-IN Metro Area",22.8
"Clarksville, TN-KY Metro Area",22.4
