,Michigan,New Mexico,Texas,Florida,Iowa,Alabama,Illinois,Indiana,Arkansas,Nevada,Kansas,Maryland,Colorado,Minnesota,Mississippi,Utah,Vermont,Hawaii,West Virginia,Wyoming,New York,South Dakota,California,Arizona,Oklahoma,Washington,Delaware,Oregon,Idaho,Tennessee,Alaska,Ohio,Maine,New Hampshire,North Dakota,Pennsylvania,North Carolina,Louisiana,Kentucky,Missouri,Nebraska,New Jersey,Massachusetts,District of Columbia,Georgia,Connecticut,Wisconsin,Montana,Virginia,Rhode Island,South Carolina
2008-01-01,95.858,95.114,96.977,101.657,87.395,88.852,100.238,91.965,88.065,101.214,89.865,108.828,103.302,96.757,88.038,96.975,100.885,109.744,87.601,95.31,111.455,85.044,111.187,102.501,89.494,104.513,100.826,97.934,94.973,91.662,103.924,92.55,98.591,106.272,85.946,99.232,92.409,91.436,89.803,88.468,89.609,107.563,106.23,112.385,94.199,110.466,93.276,94.113,103.145,103.855,91.927
2009-01-01,96.044,95.964,96.653,100.459,89.776,87.725,101.521,92.573,86.33,103.042,91.814,110.488,102.351,98.648,85.588,100.036,101.704,112.581,86.614,96.638,111.204,86.07,110.629,102.847,88.408,104.62,102.125,100.232,94.857,90.449,106.224,93.518,98.881,105.231,87.879,99.598,91.214,90.144,88.492,90.473,90.668,111.124,105.482,113.041,91.797,110.829,94.224,93.218,102.361,104.293,90.965
2010-01-01,96.195,94.505,97.591,100.332,91.218,89.682,101.745,93.073,88.492,100.763,92.993,108.432,100.594,97.591,88.218,97.291,99.614,109.395,88.829,95.492,110.132,88.863,109.665,100.548,90.456,102.608,101.547,99.286,93.204,92.269,103.183,93.155,97.688,104.064,89.176,99.069,92.813,92.131,90.358,93.124,92.13,108.867,104.709,114.189,94.463,107.003,94.858,92.458,103.586,102.11,92.596
2011-01-01,95.209,97.088,96.925,100.816,89.907,89.955,101.998,92.437,89.335,102.213,92.786,109.324,103.391,97.266,88.833,99.824,99.253,109.869,89.24,97.638,110.978,87.321,109.472,99.081,90.87,103.205,100.392,99.774,94.129,92.839,103.328,92.236,96.22,103.513,89.643,98.473,93.521,92.69,90.413,92.522,91.444,109.277,104.744,114.103,93.618,107.87,93.773,94.251,103.378,101.304,93.143
2012-01-01,95.019,96.483,97.646,101.046,90.843,90.515,100.982,92.784,89.354,101.595,93.313,107.41,103.152,97.391,88.521,99.423,100.05,108.37,89.267,96.284,109.733,90.38,109.649,98.044,91.179,102.509,99.53,101.112,93.491,93.362,102.597,93.037,97.011,102.937,92.068,98.025,93.471,92.878,90.646,92.456,92.325,109.42,104.444,111.696,95.243,107.542,94.356,93.207,102.471,99.934,93.36
2013-01-01,95.232,95.561,98.048,100.718,90.94,90.273,100.238,92.926,89.445,99.816,92.63,108.543,103.118,97.487,88.843,98.575,100.497,112.299,90.2,97.35,109.791,90.265,109.638,98.415,91.465,102.45,98.591,100.146,93.679,92.944,102.079,93.285,98.392,102.84,92.349,97.858,93.683,92.889,90.845,92.837,91.876,109.077,103.316,113.585,94.787,107.703,93.911,92.881,103.515,101.54,93.258
2014-01-01,95.485,95.469,98.364,100.856,91.07,90.137,99.686,92.696,89.357,99.16,93.188,107.909,103.076,98.338,88.92,97.934,98.076,110.592,89.834,97.424,108.954,89.448,109.887,97.934,91.779,103.861,99.704,99.747,93.701,92.747,102.412,93.064,92.632,102.144,92.576,97.25,93.788,93.373,91.025,93.373,91.839,109.154,104.535,114.291,94.903,107.01,93.832,95.172,103.455,100.436,93.198
2015-01-01,93.725,95.414,98.223,101.256,89.632,89.706,98.932,91.483,88.98,98.588,92.873,107.944,103.084,97.713,88.233,97.656,100.159,111.515,90.535,96.972,109.666,87.89,110.644,97.871,91.327,104.344,97.946,101.144,94.308,92.777,103.331,92.269,95.984,103.956,91.178,98.205,93.552,92.81,90.699,92.296,91.256,108.99,104.948,113.386,94.667,107.612,93.314,95.01,103.591,102.176,93.289
2016-01-01,93.631,94.452,98.024,101.055,89.56,90.58,99.535,91.423,89.275,97.172,92.132,107.262,102.713,97.273,88.469,97.082,98.332,109.881,89.796,97.747,110.138,87.387,109.866,98.588,91.48,105.555,98.499,99.595,92.998,93.781,104.075,92.408,97.318,105.144,91.708,97.815,93.771,93.58,90.648,91.704,90.869,109.111,108.185,112.475,94.932,107.521,93.234,93.866,102.805,101.725,93.609
2017-01-01,92.704,95.72,97.372,100.871,89.257,90.098,100.28,90.884,88.607,99.827,91.563,106.743,102.957,96.765,87.808,98.708,100.398,110.447,89.026,97.185,109.945,87.275,110.925,97.873,90.916,107.451,98.564,101.486,94.544,93.074,104.864,91.938,97.608,105.765,88.706,99.123,93.056,92.392,90.031,91.718,89.833,109.323,107.258,110.087,95.292,107.18,93.54,94.244,101.267,102.476,92.868
2018-01-01,94.458,91.625,97.745,100.315,91.841,87.388,100.323,92.737,87.156,96.198,92.508,106.355,100.29,99.577,86.166,95.977,100.239,110.831,89.427,92.345,109.587,91.253,111.972,97.344,89.659,107.124,99.26,104.706,91.703,89.66,104.552,92.932,97.683,103.53,91.212,98.133,92.916,90.769,89.074,91.792,91.88,111.078,107.264,111.51,94.819,104.057,93.951,92.371,102.018,102.076,92.261
2019-01-01,95.309,92.967,98.444,99.701,91.873,88.326,99.385,92.79,87.73,98.845,92.813,105.097,102.488,98.84,86.544,97.239,99.572,111.734,88.551,94.108,109.565,91.862,111.082,97.759,89.31,107.989,98.867,103.847,92.431,91.275,103.063,93.258,95.576,103.978,93.261,98.035,91.915,91.139,89.609,92.547,92.587,111.253,107.011,109.247,94.384,103.877,94.43,94.244,100.108,102.346,91.531
2020-01-01,94.413,91.79,98.807,100.58,90.767,87.581,100.289,91.755,88.228,97.184,92.349,106.395,103.814,97.899,85.608,95.255,102.128,113.159,87.336,91.826,110.127,91.394,111.876,99.211,89.66,107.781,96.774,103.177,91.008,90.564,101.339,91.925,97.901,105.285,91.948,97.691,91.358,91.187,89.095,92.207,92.885,110.711,109.014,110.895,94.491,105.118,92.647,91.921,101.026,101.793,90.889
2021-01-01,94.193,89.812,98.421,101.409,89.778,88.026,101.262,92.496,88.927,95.409,91.28,106.171,102.877,98.392,86.208,94.591,98.611,112.525,90.977,91.489,109.685,90.07,111.886,96.615,89.902,108.828,97.469,103.102,91.606,90.597,104.776,92.146,97.263,102.52,90.946,96.165,93.765,91.396,89.229,91.993,91.951,109.223,106.626,111.658,95.748,102.751,93.22,91.385,102.329,102.083,93.637
2022-01-01,93.428,90.981,97.512,102.144,88.422,87.776,101.257,91.817,86.597,96.383,89.961,104.958,102.293,97.722,87.328,94.471,101.096,110.839,89.245,91.903,107.599,87.991,112.47,99.897,88.771,109.849,97.957,106.565,91.827,91.797,101.989,91.45,100.839,107.644,88.656,96.218,94.204,90.569,89.356,91.119,89.806,108.757,109.393,112.847,95.832,106.412,92.31,90.266,102.137,104.7,93.551
