author,published_at,like_count,text,video_id,public
@TechLead,2023-11-03T16:40:33Z,17,"Right now, the first 500 people to use my link will get a one month free trial of Skillshare"" https://skl.sh/techlead11232",g1bOstgCQsM,True
@dangunsuh5594,2024-03-04T13:16:37Z,1,Guru 🎉🎉,g1bOstgCQsM,True
@snake_eater1963,2024-02-14T21:32:20Z,1,thanks kojima,g1bOstgCQsM,True
@sewnsew6770,2024-02-11T16:00:57Z,1,"It depends on neighborhood 
I live in an expensive neighborhood and only live here so my kids can go to an excellent school
But buying here is 53 percent more expensive than renting 
And that does not even take into account the cost of maintenance 
Replacing roof every 15 years for example",g1bOstgCQsM,True
@yoda6051,2024-02-10T03:38:58Z,0,Does your ex-wife regret divorcing you yet? Could have been w/ a Bitcoin Millionaire.,g1bOstgCQsM,True
@slacktronic6587,2024-02-07T15:45:23Z,0,"The brief comment on mortgages at 11:26 - ""If you are taking out a mortgage you probably shouldn't be buying a house."" LOL. 
Daddy, Mommy, can I have $500,000?",g1bOstgCQsM,True
@Deborah_C1,2024-02-02T03:51:10Z,420,"With rates climbing like never before in ’23 coupled with uncontrollable inflation, and our own mortgage at now 7.5% what are the best alternatives/strategies for avoiding a crunch and maximize my $600k savings other than moving in to an RV with my two kids and wife.",g1bOstgCQsM,True
@melgonz.6962,2024-02-02T00:48:25Z,0,"The only reason I even think about wanting a house is so my dog can have a backyard to chase squirrels. Otherwise, it doesn't seem worth the hassle and upkeep.",g1bOstgCQsM,True
@user-nl5le9id8v,2024-01-30T23:39:06Z,0,"Assuming you are buying a property with a mortgage as a primary residence. Definitely not tax free. You are paying property taxes to the county you live in. In my opinion that is still renting. You are renting no matter what. Either from the government in property taxes or from a landlord who takes care of the property for you. As well most people are going to be paying interest from a mortgage on the property. In most cases on a 30 year mortgage you are going to pay more than double the purchase price of the property. This is assuming you never refinance and most people refinance every 3 to 4 years. Either to take equity out or to got back to a 30 year to lower their mortgage payment which inevitably costs them even more interest because mortgages are front loaded with the interest costing you the most the first 15 years. On top of this you are responsible for all the costs of the home which an estimate is 1% per year of the homes value. Usually around $500 per month in home maintenance and repairs. Then by the time you actually pay the house off in 30 to 40 years (because of refinancing) IF you stay in it that long (most people move every 7 years) then you probably have to do a reverse mortgage just to live because social security is crap and so is 401k. So congratulations you were never a home ""owner"" just a glorified renter. The only way home ownership makes since is if you can buy it as a long term investment (meaning you are renting it out) and the property actually cashflows to cover the expenses. Or if you pay cash for a house you live in and plan to stay long term.",g1bOstgCQsM,True
@jupitereye4322,2024-01-15T20:10:23Z,1,"Never rent again, period. I've rented for few years, wasted money completely. Since I bought my first apartment, then sold and bought a house, then sold again and bought a house with rental, I have effectively quadrupled my money, literally. Not only that, I've now cut my cost as my rental unit is paying for a good chunk of the mortgage. I think your calculation is unidimensional, it doesn't take into account growth of value, not to mention lines of credit associated with the property which can sometimes be crucial for life opportunities or unfortunate events. Right now if you calculate for example cost of mortgage for a 1M$ house, it would be high, but the cost of the house will rise as interest rates come down by 2-3%, so temporarily you are losing money but in 6-7 years you'll gain that value back, or make even more. Renting should be really a short term idea. I know people in my industry that never owned a thing, always renting, and now they are turning 50, their investments haven't made much money, and even if they did it will all be gone for another rental when they hit 65 and are retired. What this is, to my eye, is pure slavery. Own nothing, pay for everything to those who are slowly accumulating money. I think if someone can't afford to buy a house, then rent, ok, but why not buy a super small condo and rent it out? Have someone pay that off, and even if you supplement payments you are still saving on a long term by having that property that is growing in value.",g1bOstgCQsM,True
@pavlinpetkov8984,2024-01-07T21:42:45Z,0,"Renting a home for more than a couple of months is a total waste of money. I don't understand people who have been paying rent for 15 years or so. You must be mental to lose that amount of money. Buying vs Renting is an absurd comparison for dumb people. It is funny how people think that the market will crash and they will buy a home for free at some point. During that time, they are paying rent and they are waiting for the crash wasting their money. Funny americans...",g1bOstgCQsM,True
@holdencawffle626,2024-01-05T02:41:41Z,0,Grant cardone hates this video,g1bOstgCQsM,True
@tomaszsadowski1916,2023-12-19T14:40:55Z,0,"when techlead is starting to invest in something, it's a good indicator to back down from this investment.",g1bOstgCQsM,True
@ya-tekao8477,2023-12-17T08:05:06Z,0,"a multi-millionaire and programmer, has never owned real estate but is considering buying a house.

techlead discusses hidden tax benefits, particularly imputed rent, which allows homeowners to avoid taxes on the rent they would pay themselves.

Challenges in the current housing market are highlighted, including rising interest rates, potential market bubbles, and commercial real estate troubles.

techlead emphasizes the importance of calculating the value of a home based on factors like interest rates, property taxes, and homeowner association (HOA) fees.

techlead mentions the shift in modern preferences for homes, with less focus on customization and more on practical, cost-effective choices.

The potential benefits of multiple home ownership, such as vacation properties, are questioned in the current context of hotel infrastructure and regulations.

techlead suggests that buying a house could make sense if paid in cash, the price aligns with financial calculations, and the property serves as a primary residence.

Various tax deductions related to home ownership, including capital gains exclusion, mortgage interest deduction, and property tax deduction, are discussed.

The overall sentiment is that the current housing market is challenging, but under specific circumstances, buying a house could still be a viable option.",g1bOstgCQsM,True
@danielwalley6554,2023-12-14T02:11:22Z,0,"I use my investment property as a piggy bank. The goal is to pay it off as quickly as possible, but with a redraw in case you need the funds for a rainy day. Lowers your interest paid per month, which makes it a profitable venture (though you do lose some of that gain from income tax). There are two goals: have an asset that produces passive income (once it's paid off), and convert currency into an asset (so that it scales with inflation).

The property is a simple 1 bedroom apartment, the kind I'd live in myself if I was single. The tenant pays $1200/month, mortgage payments are around $1300/month, with $550 being interest, the other $750 is paying the loan off (property is about 60% paid off). Yearly expenses from body corporate and rates is about $5000, maybe add another $1000 for repairs. So the total yearly loss is about $11600 (overheads + interest), and the total rental income is about $14400. So the property nets me $2800/year, while it's still being paid off, *and* its value will at minimum keep up with inflation over time given it's in a decent location. Finally, my goal is to pay it down to $80k remaining on the loan (property cost 250k), as after that it will only take 5 years for it to finish paying itself off just from monthly repayments (the time to finish paying off the loan speeds up the more that is already paid off, as the interest is charged in an inverse curve - higher at the beginning, lower at the end).

Living in it would also work well, as my monthly rent would essentially only be the interest - $550 - as the rest of the payment goes to paying it off, so that's value I keep because I own the property. Compare that to being the tenant of someone else's property of the same kind - $1200 down the drain per month, with nothing to show it for at the end. And the fact that it's ultimately profitable for me to own such a property and rent it to someone else proves that ownership is the better financial choice, at least here in Australia (and at least for an apartment - houses tend to yield less rent). And keep in mind - this is as of now, after all of the interest rate rises. When the rates were lower a couple of years ago the property was twice as profitable.",g1bOstgCQsM,True
@indexplus,2023-12-09T04:32:15Z,0,"When you rent to somebody, you can claim so many tax deductions that you have no profit on paper when you actually have profit. When you sent to yourself, you get no taxbreak",g1bOstgCQsM,True
@UnemployableFakeGuru,2023-12-07T02:34:21Z,0,"In the Netherlands you can deduct a mortgage from income, reduce income tax that way. Assuming you pay income tax to begin with.",g1bOstgCQsM,True
@Terranova339,2023-12-05T14:29:52Z,1,What about the factor that a house needs upkeeping and also deteriorates over time? Many people who buy houses consider this factor hugely,g1bOstgCQsM,True
@delerak,2023-12-01T17:04:46Z,0,I don't know how he sits that close to the monitor.,g1bOstgCQsM,True
@kevinn6482,2023-11-26T16:04:59Z,0,"King on internet , period",g1bOstgCQsM,True
@nat.serrano,2023-11-26T03:54:11Z,0,imputed rent is basically: if buying is cheaper than rent then buy,g1bOstgCQsM,True
@BrokeAgain,2023-11-25T06:33:58Z,0,Room for rents?,g1bOstgCQsM,True
