State,State Population,City1,Population1,City2,Population2,City3,Population3,City4,Population4,City5,Population5,Capital,Capital Population
Alabama,4887871,Huntsville,215006,Montgomery,200603.0,Birmingham,197575.0,Mobile,187041.0,Tuscaloosa,"99,600[2]",,
Alaska,737438,Anchorage,291538,Juneau,32197.0,Fairbanks,31516.0,Wasilla,10529.0,Sitka,8647,,
American Samoa,"55,519[3]",Tafuna,"7,945[4]",Nuʻuuli,3955.0,Pago Pago,3656.0,'Ili'ili,3195.0,Pava'ia'i,2450,[note 1],
Arizona,7171646,Phoenix,1660272,Tucson,545975.0,Mesa,508958.0,Chandler,257165.0,Scottsdale,255310,,
Arkansas,3013852,Little Rock,202591,Fayetteville,93949.0,Fort Smith,89142.0,Springdale,84161.0,Jonesboro,78576,,
California,39557045,Los Angeles,3997984,San Diego,1425976.0,San Jose,1030119.0,San Francisco,884198.0,Fresno,530093,Sacramento (6),508529.0
Colorado,5695564,Denver,719238,Colorado Springs,483829.0,Aurora,374114.0,Fort Collins,167830.0,Lakewood,156798,,
Connecticut,3605944,Bridgeport,148654,Stamford,135470.0,New Haven,134023.0,Hartford,121054.0,Waterbury,114403,,
Delaware,967171,Wilmington,70635,Dover,38079.0,Newark,33673.0,Middletown,22582.0,Smyrna,11580,,
District of Columbia,702455,"Washington, D.C.",702455,,,,,,,,,,
Florida,21538187,Jacksonville,949611,Miami,467963.0,Tampa,384959.0,Orlando,307573.0,St. Petersburg,258308,Tallahassee (8),196169.0
Georgia,10711908,Atlanta,498715,Columbus,206922.0,Augusta,202081.0,Macon,157346.0,Savannah,147780,,
Guam,159358,Dededo,44943,Yigo,20539.0,Tamuning,19685.0,Mangilao,15191.0,Barrigada,8875,Hagåtña (18),1051.0
Hawaii,1420491,Honolulu1,347397,East Honolulu 1,49914.0,Pearl City1,47698.0,Hilo1,43263.0,Kailua1,38635,,
Idaho,1754208,Boise,228790,Meridian,106894.0,Nampa,96252.0,Idaho Falls,63398.0,Caldwell,56541,,
Illinois,12741080,Chicago,2705994,Aurora,198187.0,Naperville,148304.0,Joliet,148099.0,Rockford,146526,Springfield (6),114694.0
Indiana,6691878,Indianapolis,867125,Fort Wayne,267633.0,Evansville,117963.0,South Bend,103290.0,Carmel,99329,,
Iowa,3156145,Des Moines,216853,Cedar Rapids,133174.0,Davenport,102085.0,Sioux City,82396.0,Iowa City,76290,,
Kansas,2911505,Wichita,389225,Overland Park,197219.0,Kansas City,156607.0,Olathe,139605.0,Topeka,125904,,
Kentucky,4468402,Louisville,620578,Lexington,323780.0,Bowling Green,68401.0,Owensboro,59809.0,Covington,40366,Frankfort (15),27679.0
Louisiana,4659978,New Orleans,399187,Baton Rouge,221599.0,Shreveport,185902.0,Lafayette,126143.0,Lake Charles,78001,,
Maine,1338404,Portland,66417,Lewiston,35944.0,Bangor,31997.0,South Portland,25606.0,Auburn,23196,Augusta (10),18681.0
Maryland,6042718,Baltimore,594282,Columbia,104156.0,Germantown,91347.0,Silver Spring,83267.0,Waldorf,78904,Annapolis (7),39174.0
Massachusetts,6902149,Boston,699927,Worcester,185877.0,Springfield,155032.0,Cambridge,118977.0,Lowell,111670,,
Michigan,9995915,Detroit,672662,Grand Rapids,200217.0,Warren,134587.0,Sterling Heights,132964.0,Ann Arbor,121890,Lansing (6),118427.0
Minnesota,5611179,Minneapolis,427728,Saint Paul,312818.0,Rochester,117902.0,Duluth,85884.0,Bloomington,85578,,
Mississippi,2986530,Jackson,164422,Gulfport,71870.0,Southaven,54944.0,Biloxi,45968.0,Hattiesburg,45951,,
Missouri,6126452,Kansas City,508090,Saint Louis,302838.0,Springfield,168122.0,Columbia,123180.0,Independence,116925,Jefferson City (15),42838.0
Montana,1062305,Billings,116827,Missoula,74428.0,Great Falls,58701.0,Bozeman,48532.0,Butte,34284,Helena (6),32315.0
Nebraska,1929268,Omaha,468262,Lincoln,287401.0,Bellevue,53627.0,Grand Island,51478.0,Kearney,33761,,
Nevada,3034392,Las Vegas,649876,Henderson,317189.0,Reno,259746.0,North Las Vegas,246133.0,Paradise,219178,Carson City (10),55414.0
New Hampshire,1356458,Manchester,112525,Nashua,89246.0,Concord,43412.0,Dover,31771.0,Rochester,31366,,
New Jersey,8908520,Newark,282090,Jersey City,265549.0,Paterson,145627.0,Elizabeth,128885.0,Edison,100008,Trenton (10),83974.0
New Mexico,2095428,Albuquerque,560218,Las Cruces,102926.0,Rio Rancho,98023.0,Santa Fe,94528.0,Roswell,47635,,
New York,19542209,New York City,8879928,Buffalo,278349.0,Yonkers,211569.0,Rochester,211328.0,Syracuse,148620,Albany (6),97279.0
North Carolina,10383620,Charlotte,882367,Raleigh,478956.0,Greensboro,298329.0,Durham,278547.0,Winston-Salem,248232,,
North Dakota,760077,Fargo,124844,Bismarck,73112.0,Grand Forks,56948.0,Minot,47340.0,West Fargo,36566,,
Northern Mariana Islands,53883,Saipan2,48220,Tinian2,3136.0,Rota2,2527.0,Northern Islands2,0.0,,,,
Ohio,11689442,Columbus,895477,Cleveland,382817.0,Cincinnati,302605.0,Toledo,273782.0,Akron,198006,,
Oklahoma,3943079,Oklahoma City,649021,Tulsa,400669.0,Norman,123471.0,Broken Arrow,109471.0,Edmond,93127,,
Oregon,4190713,Portland,661189,Salem,173442.0,Eugene,171245.0,Gresham,110158.0,Hillsboro,108389,,
Pennsylvania,12807060,Philadelphia,1587828,Pittsburgh,301048.0,Allentown,126238.0,Erie,96471.0,Reading,88495,Harrisburg (9),50183.0
Puerto Rico,3195153,San Juan,320967,Bayamón,170480.0,Carolina,147661.0,Ponce,133191.0,Caguas,124434,,
Rhode Island,1057315,Providence,179335,Cranston,81274.0,Warwick,80847.0,Pawtucket,71847.0,East Providence,47476,,
South Carolina,5124712,Charleston,150277,Columbia,136632.0,North Charleston,114852.0,Mount Pleasant,90801.0,Rock Hill,74372,,
South Dakota,882235,Sioux Falls,181883,Rapid City,75443.0,Aberdeen,28562.0,Brookings,24509.0,Watertown,22655,Pierre (8),13980.0
Tennessee,6770010,Nashville,681928,Memphis,650618.0,Knoxville,187500.0,Chattanooga,180557.0,Clarksville,163648,,
Texas,28701845,Houston,2325502,San Antonio,1532233.0,Dallas,1356785.0,Austin,993649.0,Fort Worth,902938,,
Utah,3161105,Salt Lake City,200591,West Valley City,136401.0,Provo,118178.0,West Jordan,116046.0,Orem,97521,,
Vermont,626299,Burlington,44743,South Burlington,20292.0,Colchester,17524.0,Rutland,15807.0,Bennington,15333,Montpelier (16),8074.0
Virgin Islands (U.S.),106405,Charlotte Amalie3,18481,Sion Farm3,13003.0,Northside3,10049.0,East End3,5128.0,Southcentral3,3277,,
Virginia,8517685,Virginia Beach,450189,Norfolk,244076.0,Chesapeake,242634.0,Richmond,228783.0,Arlington,224906,,
Washington,7535591,Seattle,754567,Spokane,219190.0,Tacoma,216279.0,Vancouver,183012.0,Bellevue,147599,Olympia (23),52555.0
West Virginia,1805832,Charleston,47215,Huntington,46048.0,Morgantown,30955.0,Parkersburg,29675.0,Wheeling,26771,,
Wisconsin,5813568,Milwaukee,592025,Madison,258054.0,Green Bay,108827.0,Kenosha,100164.0,Racine,77432,,
Wyoming,577737,Cheyenne,63957,Casper,57461.0,Laramie,32473.0,Gillette,31903.0,Rock Springs,23082,,
